"Ochric epipedon"|0|0|0|18|25|38|18|25|38|"24825832"|"15301761"
"Argillic horizon"|18|25|38|33|86|112|15|61|74|"24825832"|"15301762"
"Ochric epipedon"|0|0|0|18|25|38|18|25|38|"24825824"|"15301746"
"Argillic horizon"|18|25|38|33|86|112|15|61|74|"24825824"|"15301747"
"Cambic horizon"|25|30|51|51|66|127|26|36|76|"24825825"|"15301749"
"Umbric epipedon"|0|0|0|25|30|51|25|30|51|"24825825"|"15301748"
"Umbric epipedon"|0|0|0|43|53|68|43|53|68|"24825826"|"15301750"
"Umbric epipedon"|0|0|0|20|30|51|20|30|51|"24825827"|"15301751"
"Ochric epipedon"|0|0|0|18|25|38|18|25|38|"24826045"|"15302029"
"Argillic horizon"|18|25|38|33|86|112|15|61|74|"24826045"|"15302030"
"Umbric epipedon"|0|0|0|20|30|51|20|30|51|"24826046"|"15302031"
"Umbric epipedon"|0|0|0|43|53|68|43|53|68|"24826047"|"15302032"
"Cambic horizon"|25|30|51|51|66|127|26|36|76|"24826048"|"15302034"
"Umbric epipedon"|0|0|0|25|30|51|25|30|51|"24826048"|"15302033"
