"p"|"73895022"|"31701295"
"t"|"73895024"|"31701297"
"t"|"73895323"|"31701464"
"t"|"73895324"|"31701465"
"p"|"73895322"|"31701463"
"t"|"73894334"|"31700885"
"t"|"73894335"|"31700886"
"p"|"73894333"|"31700884"
"t"|"73895825"|"31701709"
"r"|"73895826"|"31701710"
"t"|"73895830"|"31701711"
"w"|"73895833"|"31701712"
"w"|"73895835"|"31701713"
"r"|"73895836"|"31701714"
"w"|"73895838"|"31701715"
"w"|"73895842"|"31701716"
"w"|"73896190"|"31701878"
"r"|"73896192"|"31701879"
"w"|"73896193"|"31701880"
"w"|"73896196"|"31701881"
"r"|"73896198"|"31701882"
"t"|"73896200"|"31701883"
"w"|"73896202"|"31701884"
"t"|"73896206"|"31701885"
"w"|"73896209"|"31701886"
"w"|"73896213"|"31701887"
"r"|"73896214"|"31701888"
"t"|"73896216"|"31701889"
"t"|"73896219"|"31701890"
"w"|"73896222"|"31701891"
"w"|"73896226"|"31701893"
"r"|"73896224"|"31701892"
"w"|"73896229"|"31701894"
"w"|"73896232"|"31701895"
"t"|"73896061"|"31701821"
"r"|"73896059"|"31701820"
"r"|"73896062"|"31701822"
"t"|"73896064"|"31701823"
"t"|"73896065"|"31701824"
"t"|"73896071"|"31701826"
"p"|"73896070"|"31701825"
"t"|"73896072"|"31701827"
"t"|"73896928"|"31702235"
"t"|"73896931"|"31702236"
"t"|"73896935"|"31702238"
"r"|"73896933"|"31702237"
"t"|"73896938"|"31702239"
"w"|"73896106"|"31701843"
"t"|"73896109"|"31701844"
"r"|"73896111"|"31701845"
"t"|"73896113"|"31701846"
"t"|"73896115"|"31701847"
"t"|"73896118"|"31701848"
"w"|"73896123"|"31701850"
"r"|"73896121"|"31701849"
"w"|"73895860"|"31701724"
"t"|"73895864"|"31701725"
"w"|"73895867"|"31701726"
"r"|"73895868"|"31701727"
"t"|"73895871"|"31701728"
"w"|"73895873"|"31701729"
"t"|"73895877"|"31701730"
"t"|"73895880"|"31701731"
"r"|"73895881"|"31701732"
"t"|"73894370"|"31700901"
"t"|"73894373"|"31700902"
"p"|"73895079"|"31701333"
"t"|"73895080"|"31701334"
"t"|"73895084"|"31701335"
"t"|"73895088"|"31701337"
"r"|"73895086"|"31701336"
"t"|"73894714"|"31701103"
"p"|"73894716"|"31701104"
"t"|"73894717"|"31701105"
"t"|"73894722"|"31701107"
"r"|"73894720"|"31701106"
"g"|"73894745"|"31701128"
"g"|"73894747"|"31701129"
"w"|"73897269"|"31702422"
"w"|"73897272"|"31702423"
"w"|"73897279"|"31702426"
"w"|"73897276"|"31702424"
"i"|"73897277"|"31702425"
"w"|"73897282"|"31702427"
"r"|"73897286"|"31702429"
"w"|"73897285"|"31702428"
"w"|"73897289"|"31702430"
"r"|"73897293"|"31702432"
"w"|"73897292"|"31702431"
"r"|"73897164"|"31702367"
"w"|"73897163"|"31702366"
"w"|"73897166"|"31702368"
"r"|"73897167"|"31702369"
"w"|"73897171"|"31702370"
"i"|"73897173"|"31702371"
"w"|"73897178"|"31702373"
"w"|"73897175"|"31702372"
"w"|"73897180"|"31702374"
"w"|"73897183"|"31702375"
"w"|"73897187"|"31702376"
"r"|"73896412"|"31701991"
"w"|"73896415"|"31701992"
"w"|"73896417"|"31701993"
"w"|"73896421"|"31701994"
"w"|"73896424"|"31701995"
"w"|"73896428"|"31701996"
"w"|"73896429"|"31701997"
"i"|"73896430"|"31701998"
