site,cs,yr,month,day,hour,tmin_open,tmax_open,tavg_open,rhmin_open,rhmax_open,rhavg_open,min_vp_open,max_vp_open,avg_vp_open,mean_wind,max_wind_speed,max_wind_time,mean_wind_vector,mean_wind_dir,std_dev_wind_dir,par,totalsolar
,21,2023,4,24,900,5.31,7.82,6.37,49.56,67.83,56.7,4.86,6.1,5.42,0.93,1.65,417.5,0.54,170.6,52.34,239,8.25
,21,2023,4,24,1000,7.69,10.68,8.95,41.43,54.97,48.2,4.89,6.12,5.51,1.08,1.77,954,0.62,204.5,52.72,173.2,18.22
,21,2023,4,24,1100,10.2,12,10.92,35.17,48.71,41.31,4.71,6.27,5.38,1.13,2.32,1014,0.76,188.1,46.63,1218,63.96
,21,2023,4,24,1200,11.7,15.16,13.44,28.91,39.72,34.4,4.83,5.92,5.29,1.15,1.73,1102,0.56,190.1,57.72,1695,91
,21,2023,4,24,1300,13.66,16.18,14.56,26.25,35.54,29.7,4.44,5.75,4.92,1.28,2.24,1221,0.74,188.2,52.74,1787,95.2
,21,2023,4,24,1400,14.68,17.13,15.96,24.25,30.81,27.23,4.52,5.58,4.94,1.2,2.12,1323,0.58,144.6,58.3,1739,91.7
,21,2023,4,24,1500,15.84,17.37,16.71,22.45,30.88,25.96,4.28,5.93,4.94,1.19,3,1454,0.67,195.4,53.18,1580,82.1
,21,2023,4,24,1600,16.86,17.88,17.37,20.61,28.97,24.22,4.11,5.73,4.8,1.02,2.09,1531,0.45,179.1,60.55,1311,70.56
,21,2023,4,24,1700,15.09,16.79,15.91,21.29,29.93,24.96,3.85,5.29,4.51,0.87,2.33,1612,0.37,240.6,61.39,295.6,12.64
,21,2023,4,24,1800,13.19,15.03,14.29,26.46,41.8,31.73,4.32,6.62,5.16,0.66,1.33,1758,0.29,255.2,60.74,121.6,7.57
,21,2023,4,24,1900,11.63,13.4,12.54,26.26,37.96,30.35,3.88,5.75,4.41,0.8,1.98,1810,0.54,236.2,46.42,27.82,1.41
,21,2023,4,24,2000,9.12,11.63,10.09,30.82,45.37,38.68,4.22,5.29,4.77,0.51,0.89,1916,0.46,2.53,25.92,1.7,0.1
,21,2023,4,24,2100,7.42,9.05,8.09,38.71,47.21,43.78,4.28,5.37,4.72,0.33,0.69,2002,0.25,2.45,40.88,0,0.01
,21,2023,4,24,2200,6.33,7.42,6.83,42.28,53.4,48.13,4.33,5.17,4.76,0.33,0.61,2122,0.21,315,49.52,0,0.02
